IMEI,Time-UTC,Date,Lat,Lon,Alt-m,Alt-ft,V_Vel-m/s,V_Vel-ft/s
300234064804710,12:51:16 AM,2019-08-07,28.1953,-80.3637833,-1,-4,-1,-2
300234064804710,12:50:45 AM,2019-08-07,28.1950167,-80.3651,-1,-4,0,-1
300234064804710,12:49:04 AM,2019-08-07,28.1954167,-80.3666333,-12,-40,0,-1
300234064804710,12:48:31 AM,2019-08-07,28.1952,-80.3665667,-4,-14,0,0
300234064804710,12:48:21 AM,2019-08-07,28.1951333,-80.36655,-4,-12,1,2
300234064804710,12:42:37 AM,2019-08-07,28.1931,-80.36605,-1,-3,0,0
300234064804710,12:41:38 AM,2019-08-07,28.1927667,-80.3659667,3,10,0,0
300234064804710,12:41:11 AM,2019-08-07,28.1926167,-80.3659167,0,-2,-1,-3
300234064804710,12:40:37 AM,2019-08-07,28.1924167,-80.3658667,-2,-5,0,0
300234064804710,12:40:20 AM,2019-08-07,28.1923167,-80.36585,0,-1,0,1
300234064804710,12:38:42 AM,2019-08-07,28.19175,-80.3657333,-3,-10,0,0
300234064804710,12:38:14 AM,2019-08-07,28.1916,-80.3656833,5,17,-1,-2
300234064804710,12:37:45 AM,2019-08-07,28.1914667,-80.3656,-1,-4,-1,-4
300234064804710,12:37:12 AM,2019-08-07,28.1914,-80.3656,3,11,0,-1
300234064804710,12:36:44 AM,2019-08-07,28.1913167,-80.3656,0,1,0,0
300234064804710,12:36:15 AM,2019-08-07,28.1912333,-80.3655833,1,4,0,0
300234064804710,12:35:43 AM,2019-08-07,28.19115,-80.3656,2,5,0,-1
300234064804710,12:35:16 AM,2019-08-07,28.1910833,-80.3655833,1,3,-1,-4
300234064804710,12:34:43 AM,2019-08-07,28.191,-80.3655667,9,28,1,2
300234064804710,12:34:14 AM,2019-08-07,28.1909333,-80.3655667,0,1,0,-1
300234064804710,12:32:16 AM,2019-08-07,28.1906333,-80.3655333,4,13,0,1
300234064804710,12:31:46 AM,2019-08-07,28.19055,-80.36555,1,2,0,-1
300234064804710,12:31:18 AM,2019-08-07,28.1904667,-80.3655333,1,3,-1,-3
300234064804710,12:30:48 AM,2019-08-07,28.1903833,-80.36555,3,10,-1,-2
300234064804710,12:30:18 AM,2019-08-07,28.1903167,-80.3655333,1,2,0,-1
300234064804710,12:29:47 AM,2019-08-07,28.19025,-80.36555,1,4,0,0
300234064804710,12:29:17 AM,2019-08-07,28.1901667,-80.3655167,0,1,0,2
300234064804710,12:28:47 AM,2019-08-07,28.1901167,-80.3655333,1,2,0,1
300234064804710,12:28:19 AM,2019-08-07,28.1900167,-80.3655167,0,0,0,0
300234064804710,12:27:49 AM,2019-08-07,28.1899333,-80.3655,3,9,0,0
300234064804710,12:27:22 AM,2019-08-07,28.1898833,-80.3654833,-1,-4,-1,-3
300234064804710,12:26:48 AM,2019-08-07,28.1898167,-80.3655,7,23,0,0
300234064804710,12:26:18 AM,2019-08-07,28.1898,-80.3655167,4,12,-1,-3
300234064804710,12:25:48 AM,2019-08-07,28.1896667,-80.3655,-2,-5,0,0
300234064804710,12:25:18 AM,2019-08-07,28.1895833,-80.3654667,-3,-11,0,0
300234064804710,12:24:50 AM,2019-08-07,28.1895167,-80.3654833,1,3,0,-1
